time,sping fiow,precipitation,tem_1,tem_2,tem_3
2021.7.24,0.1,0,27.7,27.2,26.4
2021.7.25,0.4,0,27.9,28.4,27.2
2021.7.26,0.7,0,28.8,29.14771032,27.9
2021.7.27,1,15.9,27.5,28.84656548,28.2
2021.7.28,1.2,59.1,27.2,26.9,24.3
2021.7.29,1.5,0.7,25.8,24.5,23
2021.7.30,1.8,0,26.7,26.9,25.1
2021.7.31,2.1,0.2,30.5,29.7,28.8
2021.8.1,2.5,25.9,29.1,29.94748327,27.8
2021.8.2,3,0,28.2,28.91521044,26.7
2021.8.3,3.4,0,28.22422168,28.7,25.8
2021.8.4,3.8,48.1,27.8,29.5,27
2021.8.5,4.1,3.3,26.6,27.5,26.7
2021.8.6,4.2,0,26.7,27.9,26.9
2021.8.7,4.2,7.3,27.3,27.8,25.2
2021.8.8,4.2,0,27.5,28.2,25.6
2021.8.9,4.2,0.1,27.3,29,26.7
2021.8.10,4.2,0,27.3,28,26.8
2021.8.11,4.2,0,28,28,24.59941788
2021.8.12,4.2,4.4,26.9,27,22.9
2021.8.13,4.2,0,25.7,25.9,23.9
2021.8.14,4.2,0,25.1,26.2,24.3
2021.8.15,4.2,0,26.3,26.7,24.5
2021.8.16,4.2,0,26.7,27.3,25.6
2021.8.17,4.2,0,27.6,27.7,25.6
2021.8.18,4.2,21.5,27.8,28.3,24.8
2021.8.19,4.2,1.4,27.7,28,25.1
2021.8.20,4.2,91.1,26.5,25.4,24
2021.8.21,4.2,0,25.6,26.1,24
2021.8.22,4.2,24.5,23.5,24.5,22.3
2021.8.23,4.2,0.8,24.1,24.9,22.5
2021.8.24,4.2,0,25.9,26.9,25.5
2021.8.25,4.2,0,25.1,26.5,25.5
2021.8.26,4.2,0,25,24.4,23.8
2021.8.27,4.2,0,23.5,23.1,23.5
2021.8.28,4.2,24.4,20.8,21.1,20.9
2021.8.29,4.2,114.1,20.2,20.2,19
2021.8.30,4.2,56.5,21.5,21.4,19.3
2021.8.31,4.2,130.6,21.3,21.4,18.1
2021.9.1,5.2,44.5,20.6,21.5,20.6
2021.9.2,5.2,0,22.6,24,22.8
2021.9.3,5.2,5,23.4,24.3,22.5
2021.9.4,5.4,135.6,20.4,19.9,17.4
2021.9.5,5.4,0,23,22.6,20.2
2021.9.6,5.4,16.4,21.9,22.3,19.6
2021.9.7,5.4,0.5,22.5,23.4,22
2021.9.8,5.4,0,22.7,25,23.5
2021.9.9,5.4,0,24.5,26.3,25.4
2021.9.10,7.5,3.4,26,26.8,23.9
